source,target,type,unit,data-source,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66,value67,value68,value69,value70,value71,value72,value73,value74,value75,value76,value77,value78,value79,value80,value81,value82,value83,value84,value85,value86,value87,value88,value89,value90,value91,value92,value93,value94,value95,value96,value97,value98,value99,value100
Electric Generation,Electric Grid,Petroleum,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,97.4071919,115.1061753,9.80E+01,101.5103946,131.0414226,107.5513184,126.7211736,122.6554704,138.1895522,137.7534123,159.8237585,163.7380651,165.5549964,166.7839133,177.4368583,194.3341249,221.1109404,269.3072704,304.6043401,355.8037982,470.3541697,628.4598467,751.4402553,935.9368005,1072.582495,1026.817487,986.4327433,1091.844717,1222.156794,1245.637788,1035.670971,839.3670506,704.337005,500.8938609,493.0496885,408.8015232,341.9044393,466.0470233,404.3135333,508.0665239,542.5475799,405.5804615,384.883434,314.7288126,359.726055,336.698603,232.5232917,255.1697098,295.0787666,417.001582,380.5872065,358.9303436,406.5529219,306.1826262,387.9509493,391.2986015,397.4527401,203.7329714,209.1858467,146.3167959,122.1923063,118.3287383,96.22976419,68.48768788,82.21261813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Generation,Electric Grid,Gas,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,126.1356501,1.52E+02,1.93E+02,233.5716381,272.2581246,319.6776463,325.1274166,354.9896612,389.7092259,408.6356931,500.2861585,539.0153309,577.627808,628.8621382,687.8949181,750.8025261,755.9920523,856.9648298,903.554894,1038.767489,1137.194809,1272.353834,1276.246064,1282.104711,1163.056454,1092.107452,1022.886358,1005.298474,1042.425987,1042.036662,1124.249826,1181.419577,1179.840779,1041.58933,935.2629026,1014.749083,996.1611003,847.945857,930.2207809,862.5917926,1014.412987,1056.011429,1084.287847,1140.590572,1167.70925,1316.026517,1430.296751,1292.373551,1363.477464,1533.049985,1613.929342,1767.414297,1893.532853,2073.501145,1935.719548,2139.998326,2333.321057,2505.934478,2780.048876,2737.805198,2869.63056,3075.668297,3160.634035,3865.243329,3480.254801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Generation,Electric Grid,Other Gases,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.549337501,2.119322112,2.45358233,4.137136423,3.297862183,3.726137139,6.574623681,4.576159626,5.232061963,7.898753011,5.481888736,6.919673091,1.998801858,6.721410602,9.032259636,12.17531636,12.88819123,14.51363996,13.79232346,10.91783981,10.43366715,10.12545863,10.02870736,10.18309994,11.41312923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Generation,Electric Grid,Nuclear,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,3.30E-02,0.561949017,0.641827253,1.768110374,5.773852047,7.744486675,10.95923932,11.40591255,12.47717489,18.83471129,26.12067438,42.74874344,47.52376268,74.39987156,130.0181213,184.5666306,284.8437407,388.9012308,588.6118331,652.072208,856.0493522,943.1265242,870.6236327,856.8419927,930.4006007,964.8622076,1002.067859,1117.931905,1309.207011,1412.756637,1553.447085,1798.106511,1806.233209,1968.333821,2090.158879,2111.352373,2082.40001,2185.271303,2297.743339,2302.269204,2145.023045,2298.766982,2484.906132,2572.389349,2623.344224,2661.68919,2605.96414,2690.57058,2668.24835,2686.101357,2751.635632,2750.897244,2725.805037,2753.490131,2696.289329,2625.067015,2692.236046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Electric Grid,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,306.23374,3.27E+02,3.40E+02,358.6246157,3.59E+02,365.3328861,385.4870419,416.3788661,444.3717348,478.5941505,470.1296508,497.603874,519.2310513,575.3106226,565.5785122,604.1995197,661.4457023,664.5343729,755.8511308,759.1694385,853.6929272,845.2342281,908.6901672,930.1924601,928.3874372,1027.164502,1023.801495,968.0488066,752.2902198,956.8290025,954.6585392,941.8227449,889.4890226,1055.078209,1133.273576,1095.809967,959.321572,992.4012614,851.9947043,760.7018313,918.5116757,988.6786149,975.9387017,853.0889781,946.9501701,866.7003523,1042.10354,1164.082144,1196.460638,1084.605859,1073.675063,925.842662,729.3428849,888.8335502,926.4363746,904.4352266,911.1776184,976.7388489,838.8501111,863.5976919,926.4165842,881.8847238,1083.459038,934.4474007,906.7367161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Generation,Electric Grid,Biomass,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,1.317209506,1.33E+00,1.33E+00,1.64344778,1.33E+00,0.898874118,9.43E-01,5.18E-01,0.602850359,0.597135022,0.521637976,0.478266244,0.429022216,0.436058052,0.4365494,0.505256284,0.917197319,1.139402806,1.077172167,1.279764664,1.091656708,0.464051262,0.379873728,0.446509442,0.444953505,0.233810181,0.059886498,0.287936984,1.049690778,0.672850444,1.023161377,0.939587792,0.83666054,0.668575031,0.736568777,1.574399682,2.536224401,1.67709832,2.672007165,3.193716796,19.0469465,23.99570176,26.3952187,28.97281873,31.2274152,31.50185034,25.92126882,28.61551291,29.61817073,29.37215873,30.57519456,30.42290386,28.2996066,30.7410963,32.50978333,33.22198941,36.06596169,35.28659442,36.54843852,36.29720253,36.63930385,39.05465655,36.6212195,37.70539338,41.7248621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Generation,Electric Grid,Waste,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,,,,,,,,,,,,,,,,,,,,,,0.752206622,0.681981335,0.681657182,0.675228707,0.621535246,0.592238598,0.621275924,0.591225192,0.479180698,0.676259174,0.538425713,0.418424104,0.426446049,0.55530899,1.448590608,2.182330719,2.338115458,2.367824975,2.519040855,26.4199192,39.2393899,47.27157129,54.33456798,55.35633379,57.9512675,61.37002869,60.79139771,63.07197081,65.62630003,66.5130474,69.29066717,44.16822848,44.85266997,47.11358913,44.56867742,44.46392467,47.5223637,48.7741761,52.47437073,54.43676162,55.87822085,54.55843859,56.48923306,56.0151501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Electric Grid,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,,,,,,,,,,,,0.113856342,0.320812968,0.342790572,0.573079423,0.695363755,0.645624966,0.641441681,1.079291107,1.487100038,2.097477581,1.791998778,1.869007402,4.957142299,6.70729116,8.368741399,11.07639862,12.33969288,12.22343439,10.16009528,13.26970961,17.31006405,19.40199349,16.52454127,20.72910503,26.41169594,31.81900549,35.17218531,36.76739565,35.14533176,49.79488415,52.6639152,54.47975461,55.06500514,57.28497861,53.00915569,45.64851788,48.89148553,50.24753886,50.41070747,50.59185807,48.08785793,46.88453207,49.44640212,49.21751566,50.53716144,50.13033179,49.70818163,49.94423359,50.63611355,51.2116736,51.93010002,52.26060005,53.10121527,56.35755851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Electric Grid,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017906919,0.036271066,0.047879171,0.035817251,0.031030016,0.855086105,1.252552835,1.609728996,1.363628281,1.577951721,1.660423184,1.695223617,1.778425278,1.744177613,1.714509041,1.689289902,1.683465377,1.85195693,1.893161953,1.822087043,1.962510319,1.877681066,1.732364778,2.087524364,2.948892222,3.040685656,4.113715483,5.893734231,14.20829423,30.42993628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Electric Grid,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009103594,0.022144799,0.01966076,0.014293461,0.012082394,0.002971975,7.206589845,9.515098149,10.06906276,9.852637436,10.25630744,11.76202412,10.79687939,11.03510147,11.2192411,10.32410328,15.31368481,19.08499871,22.98872758,35.33026984,38.17323212,48.26044406,60.77211911,90.7259115,117.5480403,188.9067383,252.1092235,322.9120495,409.8695235,480.2544986,571.7626777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
